model,cand_id,sample_dir,b,subject,selector,generated,update_exit_code,run_exit_code,maven_returncode,status,failure_category,failure_detail
deepseek-v4-pro,1,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand001_0095d8adf26b,0095d8adf26b9469115b1be0358cb09d1fcb5fd4,LANG-1034: Recursive and reflective EqualsBuilder (closes #202),EqualsBuilderTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,2,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand002_01d67b1bda06,01d67b1bda06b33752fe3232594988561ff0c324,"Removing isExactlyOneTrue, since there is no consensus about this method. See also LANG-922.",BooleanUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,3,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand003_02a98515a337,02a98515a337991f0ce05271ac90121fa204d9db,"LANG-1119: Add StringUtils.rotate(String, int)",StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,4,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand004_03fe88ab71cf,03fe88ab71cf2eadaa39654786c3fba713742768,LANG-1149 Added alternative checked exception wrapping/unwrapping methods,ExceptionUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,5,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand005_05763470e5a0,05763470e5a067eb153533d47baa73174ad9bd46,clarify behavior of #isNumber() with blanks,NumberUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,6,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand006_061450a927ba,061450a927ba1cc65f7b984f4ff41866ec2eceac,"incorporated feedback from Fabian, formatting adjusted, count >> 1 replaced with count / 2",ThreadUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,7,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand007_06506aecf9e4,06506aecf9e46441d08edab311e19e599d273fab,tabs replaced by spaces new tests added,ArrayUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,8,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand008_06aea7e74cfe,06aea7e74cfe4a1578cb76672f1562132090c205,LANG-1475 Fix unwrap StringIndexOutOfBoundsException,StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,9,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand009_07914b39281e,07914b39281e4be500d430b2c25e85499748788f,[LANG-1784] Add Failable methods for null-safe mapping and chaining #1435,FailableTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,10,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand010_089b43a0a6de,089b43a0a6de2d6ae49840aec3805aee2c309001,[LANG-1426] Corrected usage examples in Javadocs (#458),StringUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,11,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand011_08aa21f9217d,08aa21f9217df0a28d48be5be5db03ddf4867140,"LANG-1408: add toDouble(BigDecimal), toDouble(BigDecimal, double)",NumberUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,12,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand012_0abcf0d32b22,0abcf0d32b22401e2c8e358317694d2ff044faed,Modify the error comment,RandomUtilsTest,True,0,0,0,maven_pass,,
deepseek-v4-pro,13,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand013_0b4a9d95df61,0b4a9d95df610bfcc83c375110ac100d08662ba1,LocaleUtils.parseLocale(String) operator precedence bug allows invalid language with numeric country (#1658),LocaleUtilsTest,True,0,0,0,maven_pass,,
