model,cand_id,status,sample_dir,b,subject,test_path,test_method_count_llm,test_method_count_human,test_method_name_overlap,test_method_name_jaccard,added_test_count_llm,added_test_count_human,added_test_overlap,added_test_name_jaccard,deleted_test_count_llm,deleted_test_count_human,deleted_test_overlap,deleted_test_name_jaccard,modified_test_count_llm,modified_test_count_human,modified_test_overlap,modified_test_name_jaccard,assert_count_llm,assert_count_human,assert_count_ratio,assert_type_distribution_llm,assert_type_distribution_human,assert_type_jaccard,exception_assert_count_llm,exception_assert_count_human,added_tests_llm,added_tests_human,deleted_tests_llm,deleted_tests_human,modified_tests_llm,modified_tests_human,error
deepseek-v4-pro,1,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand001_0095d8adf26b,0095d8adf26b9469115b1be0358cb09d1fcb5fd4,LANG-1034: Recursive and reflective EqualsBuilder (closes #202),src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java,52,52,52,1.0000,3,3,3,1.0000,0,0,0,1.0000,0,0,0,1.0000,269,269,1.0000,"{""assertEquals"": 7, ""assertFalse"": 17, ""assertNull"": 3, ""assertTrue"": 242}","{""assertEquals"": 7, ""assertFalse"": 17, ""assertNull"": 3, ""assertTrue"": 242}",1.0000,0,0,"[""testObjectRecursive"", ""testObjectRecursiveCycle"", ""testObjectRecursiveCycleSelfreference""]","[""testObjectRecursive"", ""testObjectRecursiveCycle"", ""testObjectRecursiveCycleSelfreference""]",[],[],[],[],
deepseek-v4-pro,2,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand002_01d67b1bda06,01d67b1bda06b33752fe3232594988561ff0c324,"Removing isExactlyOneTrue, since there is no consensus about this method. See also LANG-922.",src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,71,71,71,1.0000,0,0,0,1.0000,9,9,9,1.0000,0,0,0,1.0000,249,249,1.0000,"{""assertEquals"": 107, ""assertFalse"": 32, ""assertNotNull"": 1, ""assertSame"": 9, ""assertTrue"": 100}","{""assertEquals"": 107, ""assertFalse"": 32, ""assertNotNull"": 1, ""assertSame"": 9, ""assertTrue"": 100}",1.0000,25,25,[],[],"[""testIsExactlyOneTrue_object_emptyInput"", ""testIsExactlyOneTrue_object_nullElementInput"", ""testIsExactlyOneTrue_object_nullInput"", ""testIsExactlyOneTrue_object_validInput_2items"", ""testIsExactlyOneTrue_object_validInput_3items"", ""testIsExactlyOneTrue_primitive_emptyInput"", ""testIsExactlyOneTrue_primitive_nullInput"", ""testIsExactlyOneTrue_primitive_validInput_2items"", ""testIsExactlyOneTrue_primitive_validInput_3items""]","[""testIsExactlyOneTrue_object_emptyInput"", ""testIsExactlyOneTrue_object_nullElementInput"", ""testIsExactlyOneTrue_object_nullInput"", ""testIsExactlyOneTrue_object_validInput_2items"", ""testIsExactlyOneTrue_object_validInput_3items"", ""testIsExactlyOneTrue_primitive_emptyInput"", ""testIsExactlyOneTrue_primitive_nullInput"", ""testIsExactlyOneTrue_primitive_validInput_2items"", ""testIsExactlyOneTrue_primitive_validInput_3items""]",[],[],
deepseek-v4-pro,3,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand003_02a98515a337,02a98515a337991f0ce05271ac90121fa204d9db,"LANG-1119: Add StringUtils.rotate(String, int)",src/test/java/org/apache/commons/lang3/StringUtilsTest.java,126,126,126,1.0000,1,1,1,1.0000,0,0,0,1.0000,0,0,0,1.0000,1172,1172,1.0000,"{""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 5, ""assertEquals"": 923, ""assertFalse"": 46, ""assertNotNull"": 2, ""assertNull"": 117, ""assertSame"": 2, ""assertTrue"": 50, ""fail"": 6}","{""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 5, ""assertEquals"": 923, ""assertFalse"": 46, ""assertNotNull"": 2, ""assertNull"": 117, ""assertSame"": 2, ""assertTrue"": 50, ""fail"": 6}",1.0000,12,12,"[""testRotate_StringInt""]","[""testRotate_StringInt""]",[],[],[],[],
deepseek-v4-pro,4,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand004_03fe88ab71cf,03fe88ab71cf2eadaa39654786c3fba713742768,LANG-1149 Added alternative checked exception wrapping/unwrapping methods,src/test/java/org/apache/commons/lang3/exception/ExceptionUtilsTest.java,34,34,34,1.0000,4,4,4,1.0000,0,0,0,1.0000,0,0,0,1.0000,168,168,1.0000,"{""assertEquals"": 98, ""assertFalse"": 2, ""assertNotNull"": 1, ""assertSame"": 46, ""assertTrue"": 12, ""fail"": 9}","{""assertEquals"": 98, ""assertFalse"": 2, ""assertNotNull"": 1, ""assertSame"": 46, ""assertTrue"": 12, ""fail"": 9}",1.0000,1,1,"[""testWrapAndUnwrapCheckedException"", ""testWrapAndUnwrapError"", ""testWrapAndUnwrapRuntimeException"", ""testWrapAndUnwrapThrowable""]","[""testWrapAndUnwrapCheckedException"", ""testWrapAndUnwrapError"", ""testWrapAndUnwrapRuntimeException"", ""testWrapAndUnwrapThrowable""]",[],[],[],[],
deepseek-v4-pro,5,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand005_05763470e5a0,05763470e5a067eb153533d47baa73174ad9bd46,clarify behavior of #isNumber() with blanks,src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,90,90,90,1.0000,0,0,0,1.0000,0,0,0,1.0000,1,1,1,1.0000,509,509,1.0000,"{""assertEquals"": 198, ""assertFalse"": 16, ""assertNotNull"": 2, ""assertTrue"": 284, ""fail"": 9}","{""assertEquals"": 198, ""assertFalse"": 16, ""assertNotNull"": 2, ""assertTrue"": 284, ""fail"": 9}",1.0000,28,28,[],[],[],[],"[""testIsNumber""]","[""testIsNumber""]",
deepseek-v4-pro,6,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand006_061450a927ba,061450a927ba1cc65f7b984f4ff41866ec2eceac,"incorporated feedback from Fabian, formatting adjusted, count >> 1 replaced with count / 2",src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,27,27,27,1.0000,0,0,0,1.0000,0,0,0,1.0000,1,1,1,1.0000,40,40,1.0000,"{""assertEquals"": 24, ""assertFalse"": 1, ""assertNotNull"": 3, ""assertNull"": 4, ""assertSame"": 1, ""assertTrue"": 7}","{""assertEquals"": 24, ""assertFalse"": 1, ""assertNotNull"": 3, ""assertNull"": 4, ""assertSame"": 1, ""assertTrue"": 7}",1.0000,13,13,[],[],[],[],"[""testComplexThreadGroups""]","[""testComplexThreadGroups""]",
deepseek-v4-pro,7,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand007_06506aecf9e4,06506aecf9e46441d08edab311e19e599d273fab,tabs replaced by spaces new tests added,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,266,266,266,1.0000,1,1,1,1.0000,0,0,0,1.0000,1,1,1,1.0000,1552,1552,1.0000,"{""assertArrayEquals"": 46, ""assertEquals"": 929, ""assertFalse"": 171, ""assertIsEquals"": 9, ""assertNotNull"": 1, ""assertNotSame"": 20, ""assertNull"": 9, ""assertSame"": 71, ""assertTrue"": 280, ""fail"": 16}","{""assertArrayEquals"": 46, ""assertEquals"": 929, ""assertFalse"": 171, ""assertIsEquals"": 9, ""assertNotNull"": 1, ""assertNotSame"": 20, ""assertNull"": 9, ""assertSame"": 71, ""assertTrue"": 280, ""fail"": 16}",1.0000,15,15,"[""testSwapCharOutOfBounds""]","[""testSwapCharOutOfBounds""]",[],[],"[""testSwapChar""]","[""testSwapChar""]",
deepseek-v4-pro,8,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand008_06aea7e74cfe,06aea7e74cfe4a1578cb76672f1562132090c205,LANG-1475 Fix unwrap StringIndexOutOfBoundsException,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,147,147,147,1.0000,0,0,0,1.0000,0,0,0,1.0000,2,2,2,1.0000,1543,1543,1.0000,"{""assertAbbreviateWithAbbrevMarkerAndOffset"": 21, ""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 12, ""assertEquals"": 1190, ""assertFalse"": 30, ""assertNotNull"": 2, ""assertNull"": 184, ""assertSame"": 3, ""assertThrows"": 47, ""assertTrue"": 33}","{""assertAbbreviateWithAbbrevMarkerAndOffset"": 21, ""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 12, ""assertEquals"": 1190, ""assertFalse"": 30, ""assertNotNull"": 2, ""assertNull"": 184, ""assertSame"": 3, ""assertThrows"": 47, ""assertTrue"": 33}",1.0000,47,47,[],[],[],[],"[""testUnwrap_StringChar"", ""testUnwrap_StringString""]","[""testUnwrap_StringChar"", ""testUnwrap_StringString""]",
deepseek-v4-pro,9,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand009_07914b39281e,07914b39281e4be500d430b2c25e85499748788f,[LANG-1784] Add Failable methods for null-safe mapping and chaining #1435,src/test/java/org/apache/commons/lang3/function/FailableTest.java,174,177,174,0.9831,0,3,0,0.0000,0,0,0,1.0000,2,2,2,1.0000,524,575,0.9113,"{""assertEquals"": 42, ""assertFalse"": 41, ""assertInstanceOf"": 8, ""assertNotNull"": 36, ""assertNull"": 31, ""assertNullPointerException"": 39, ""assertSame"": 90, ""assertThrows"": 192, ""assertTrue"": 45}","{""assertEquals"": 67, ""assertFalse"": 41, ""assertInstanceOf"": 8, ""assertNotNull"": 36, ""assertNull"": 40, ""assertNullPointerException"": 39, ""assertSame"": 90, ""assertThrows"": 209, ""assertTrue"": 45}",1.0000,192,209,[],"[""testApplyNotNull"", ""testApplyNotNull2"", ""testApplyNotNull3""]",[],[],"[""testBiPredicate"", ""testPredicate""]","[""testBiPredicate"", ""testPredicate""]",
deepseek-v4-pro,10,ok,/home/lpy/workspace/misc/course/Introduction-to-Software-Testing/artifacts/sample_runs/deepseek-v4-pro/cand010_089b43a0a6de,089b43a0a6de2d6ae49840aec3805aee2c309001,[LANG-1426] Corrected usage examples in Javadocs (#458),src/test/java/org/apache/commons/lang3/StringUtilsTest.java,149,149,149,1.0000,0,0,0,1.0000,0,0,0,1.0000,1,1,1,1.0000,1558,1558,1.0000,"{""assertAbbreviateWithAbbrevMarkerAndOffset"": 21, ""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 12, ""assertEquals"": 1203, ""assertFalse"": 30, ""assertNotEquals"": 2, ""assertNotNull"": 2, ""assertNull"": 184, ""assertSame"": 3, ""assertThrows"": 47, ""assertTrue"": 33}","{""assertAbbreviateWithAbbrevMarkerAndOffset"": 21, ""assertAbbreviateWithOffset"": 21, ""assertArrayEquals"": 12, ""assertEquals"": 1203, ""assertFalse"": 30, ""assertNotEquals"": 2, ""assertNotNull"": 2, ""assertNull"": 184, ""assertSame"": 3, ""assertThrows"": 47, ""assertTrue"": 33}",1.0000,47,47,[],[],[],[],"[""testTruncate_StringIntInt""]","[""testTruncate_StringIntInt""]",
