status,model,cand_id,subject,b,test_path,maven_status,llm_method_count,human_method_count,method_name_jaccard,aligned_pair_count,cross_name_pair_count,aligned_method_similarity,aligned_fingerprint_similarity,alignment_coverage_human,alignment_coverage_llm,unmatched_human_method_count,unmatched_llm_method_count,parse_error
ok,deepseek-v4-pro,1,LANG-1034: Recursive and reflective EqualsBuilder (closes #202),0095d8adf26b9469115b1be0358cb09d1fcb5fd4,src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java,maven_pass,52,52,1.0,52,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,2,"Removing isExactlyOneTrue, since there is no consensus about this method. See also LANG-922.",01d67b1bda06b33752fe3232594988561ff0c324,src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,maven_pass,71,71,1.0,71,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,3,"LANG-1119: Add StringUtils.rotate(String, int)",02a98515a337991f0ce05271ac90121fa204d9db,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,maven_pass,126,126,1.0,126,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,4,LANG-1149 Added alternative checked exception wrapping/unwrapping methods,03fe88ab71cf2eadaa39654786c3fba713742768,src/test/java/org/apache/commons/lang3/exception/ExceptionUtilsTest.java,maven_pass,34,34,1.0,34,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,5,clarify behavior of #isNumber() with blanks,05763470e5a067eb153533d47baa73174ad9bd46,src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,maven_pass,90,90,1.0,90,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,6,"incorporated feedback from Fabian, formatting adjusted, count >> 1 replaced with count / 2",061450a927ba1cc65f7b984f4ff41866ec2eceac,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,maven_pass,27,27,1.0,27,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,7,tabs replaced by spaces new tests added,06506aecf9e46441d08edab311e19e599d273fab,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,maven_pass,266,266,1.0,266,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,8,LANG-1475 Fix unwrap StringIndexOutOfBoundsException,06aea7e74cfe4a1578cb76672f1562132090c205,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,maven_pass,147,147,1.0,147,0,1.0,1.0,1.0,1.0,0,0,
ok,deepseek-v4-pro,9,[LANG-1784] Add Failable methods for null-safe mapping and chaining #1435,07914b39281e4be500d430b2c25e85499748788f,src/test/java/org/apache/commons/lang3/function/FailableTest.java,maven_pass,174,177,0.9831,174,0,1.0,1.0,0.9831,1.0,3,0,
ok,deepseek-v4-pro,10,[LANG-1426] Corrected usage examples in Javadocs (#458),089b43a0a6de2d6ae49840aec3805aee2c309001,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,maven_pass,149,149,1.0,149,0,1.0,1.0,1.0,1.0,0,0,
