status,model,cand_id,subject,b,test_path,sample_dir,maven_status,llm_added_count,llm_deleted_count,llm_modified_count,human_added_count,human_deleted_count,human_modified_count,llm_delta_count,human_delta_count,aligned_pair_count,delta_method_ast_similarity,delta_added_ast_sim,delta_modified_ast_sim,parse_error
ok,deepseek-v4-pro,1,LANG-1034: Recursive and reflective EqualsBuilder (closes #202),0095d8adf26b9469115b1be0358cb09d1fcb5fd4,src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand001_0095d8adf26b,maven_pass,3,0,0,3,0,0,3,3,3,1.0,1.0,1.0,
ok,deepseek-v4-pro,2,"Removing isExactlyOneTrue, since there is no consensus about this method. See also LANG-922.",01d67b1bda06b33752fe3232594988561ff0c324,src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand002_01d67b1bda06,maven_pass,0,9,0,0,9,0,0,0,0,1.0,1.0,1.0,
ok,deepseek-v4-pro,3,"LANG-1119: Add StringUtils.rotate(String, int)",02a98515a337991f0ce05271ac90121fa204d9db,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand003_02a98515a337,maven_pass,1,0,0,1,0,0,1,1,1,1.0,1.0,1.0,
ok,deepseek-v4-pro,4,LANG-1149 Added alternative checked exception wrapping/unwrapping methods,03fe88ab71cf2eadaa39654786c3fba713742768,src/test/java/org/apache/commons/lang3/exception/ExceptionUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand004_03fe88ab71cf,maven_pass,4,0,0,4,0,0,4,4,4,1.0,1.0,1.0,
ok,deepseek-v4-pro,5,clarify behavior of #isNumber() with blanks,05763470e5a067eb153533d47baa73174ad9bd46,src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand005_05763470e5a0,maven_pass,0,0,1,0,0,1,1,1,1,1.0,1.0,1.0,
ok,deepseek-v4-pro,6,"incorporated feedback from Fabian, formatting adjusted, count >> 1 replaced with count / 2",061450a927ba1cc65f7b984f4ff41866ec2eceac,src/test/java/org/apache/commons/lang3/ThreadUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand006_061450a927ba,maven_pass,0,0,1,0,0,1,1,1,1,1.0,1.0,1.0,
ok,deepseek-v4-pro,7,tabs replaced by spaces new tests added,06506aecf9e46441d08edab311e19e599d273fab,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand007_06506aecf9e4,maven_pass,1,0,1,1,0,1,2,2,2,1.0,1.0,1.0,
ok,deepseek-v4-pro,8,LANG-1475 Fix unwrap StringIndexOutOfBoundsException,06aea7e74cfe4a1578cb76672f1562132090c205,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand008_06aea7e74cfe,maven_pass,0,0,2,0,0,2,2,2,2,1.0,1.0,1.0,
ok,deepseek-v4-pro,9,[LANG-1784] Add Failable methods for null-safe mapping and chaining #1435,07914b39281e4be500d430b2c25e85499748788f,src/test/java/org/apache/commons/lang3/function/FailableTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand009_07914b39281e,maven_pass,0,0,2,3,0,2,2,5,2,0.4,0.0,1.0,
ok,deepseek-v4-pro,10,[LANG-1426] Corrected usage examples in Javadocs (#458),089b43a0a6de2d6ae49840aec3805aee2c309001,src/test/java/org/apache/commons/lang3/StringUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand010_089b43a0a6de,maven_pass,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
ok,deepseek-v4-pro,11,"LANG-1408: add toDouble(BigDecimal), toDouble(BigDecimal, double)",08aa21f9217df0a28d48be5be5db03ddf4867140,src/test/java/org/apache/commons/lang3/math/NumberUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand011_08aa21f9217d,maven_pass,2,0,1,2,0,1,3,3,3,1.0,1.0,1.0,
ok,deepseek-v4-pro,12,Modify the error comment,0abcf0d32b22401e2c8e358317694d2ff044faed,src/test/java/org/apache/commons/lang3/RandomUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand012_0abcf0d32b22,maven_pass,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
ok,deepseek-v4-pro,13,LocaleUtils.parseLocale(String) operator precedence bug allows invalid language with numeric country (#1658),0b4a9d95df610bfcc83c375110ac100d08662ba1,src/test/java/org/apache/commons/lang3/LocaleUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand013_0b4a9d95df61,maven_pass,2,0,0,2,0,0,2,2,2,1.0,1.0,1.0,
ok,deepseek-v4-pro,14,LANG-1352: EnumUtils.getEnumIgnoreCase and isValidEnumIgnoreCase methods added (closes #286),0b70b01a9f1d9664bb5eac737175f58f06979b60,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand014_0b70b01a9f1d,maven_pass,0,2,0,8,2,0,0,8,0,0.2,0.0,1.0,
ok,deepseek-v4-pro,15,"LANG-922 - Add isOneTrue(booleans...) to BooleanUtils to preserve old behavior of BooleanUtils.xor(booleans...). Added isOneTrue for primitives and wrappers, isOneFalse still missing.",0de9354f505f415c7ad35fe735cebab4900a698a,src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand015_0de9354f505f,maven_pass,9,0,0,9,0,0,9,9,9,1.0,1.0,1.0,
ok,deepseek-v4-pro,16,LANG-1023 WordUtils.wrap: Customizable breakable characters (not just space/whitespace),0fe9685c8a78ba2d780a3ec1e1a323990dc6d218,src/test/java/org/apache/commons/lang3/text/WordUtilsTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand016_0fe9685c8a78,maven_pass,1,0,0,1,0,0,1,1,1,1.0,1.0,1.0,
ok,deepseek-v4-pro,17,LANG-1276: StrBuilder#replaceAll ArrayIndexOutOfBoundsException (closes #200),10325422e5a4735aa87a4d47bdb377e09fe963d2,src/test/java/org/apache/commons/lang3/text/StrBuilderTest.java,D:\software_test_intro\artifacts\artifacts\sample_runs\deepseek-v4-pro\cand017_10325422e5a4,maven_pass,0,0,1,0,0,1,1,1,1,1.0,1.0,1.0,
